,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2432,2024,SE,FT,Data Scientist,164000.0,USD,164000.0,US,100.0,US,M
2433,2024,SE,FT,Data Scientist,152000.0,USD,152000.0,US,100.0,US,M
2434,2024,SE,FT,Applied Scientist,250000.0,USD,250000.0,US,100.0,US,M
2435,2024,SE,FT,Applied Scientist,180000.0,USD,180000.0,US,100.0,US,M
2436,2024,MI,FT,Machine Learning Engineer,202000.0,USD,202000.0,US,0.0,US,M
2437,2024,MI,FT,Machine Learning Engineer,137000.0,USD,137000.0,US,0.0,US,M
2438,2024,SE,FT,Machine Learning Scientist,204600.0,USD,204600.0,US,0.0,US,M
2439,2024,SE,FT,Machine Learning Scientist,84500.0,USD,84500.0,US,0.0,US,M
2440,2024,SE,FT,Research Engineer,190000.0,USD,190000.0,US,0.0,US,M
2441,2024,SE,FT,Research Engineer,151500.0,USD,151500.0,US,0.0,US,M
2442,2024,MI,FT,Data Science,65000.0,GBP,81250.0,GB,0.0,GB,M
2443,2024,MI,FT,Data Science,55000.0,GBP,68750.0,GB,0.0,GB,M
2444,2024,SE,FT,Data Scientist,168800.0,USD,168800.0,US,0.0,US,M
2445,2024,SE,FT,Data Scientist,93800.0,USD,93800.0,US,0.0,US,M
2446,2024,MI,FT,Data Scientist,132567.0,USD,132567.0,US,0.0,US,M
2447,2024,MI,FT,Data Scientist,96412.0,USD,96412.0,US,0.0,US,M
2448,2024,SE,FT,Machine Learning Engineer,309000.0,USD,309000.0,US,0.0,US,M
2449,2024,SE,FT,Machine Learning Engineer,142000.0,USD,142000.0,US,0.0,US,M
2450,2024,SE,FT,Research Engineer,333500.0,USD,333500.0,US,0.0,US,M
2451,2024,SE,FT,Research Engineer,156000.0,USD,156000.0,US,0.0,US,M
2452,2024,SE,FT,Data Scientist,266875.0,USD,266875.0,US,0.0,US,M
2453,2024,SE,FT,Data Scientist,128250.0,USD,128250.0,US,0.0,US,M
2454,2024,SE,FT,Data Engineer,191311.0,USD,191311.0,US,100.0,US,M
2455,2024,SE,FT,Data Engineer,166358.0,USD,166358.0,US,100.0,US,M
2456,2024,SE,FT,Data Scientist,218500.0,USD,218500.0,US,100.0,US,M
2457,2024,SE,FT,Data Scientist,190000.0,USD,190000.0,US,100.0,US,M
2458,2024,MI,FT,Data Specialist,70000.0,USD,70000.0,US,0.0,US,M
2459,2024,MI,FT,Data Specialist,60000.0,USD,60000.0,US,0.0,US,M
2460,2024,SE,FT,Machine Learning Engineer,324000.0,USD,324000.0,US,0.0,US,M
2461,2024,SE,FT,Machine Learning Engineer,159000.0,USD,159000.0,US,0.0,US,M
2462,2024,SE,FT,Analytics Engineer,179000.0,USD,179000.0,US,0.0,US,M
2463,2024,SE,FT,Analytics Engineer,152000.0,USD,152000.0,US,0.0,US,M
2464,2024,SE,FT,Machine Learning Engineer,235680.0,USD,235680.0,US,0.0,US,M
2465,2024,SE,FT,Machine Learning Engineer,153040.0,USD,153040.0,US,0.0,US,M
2466,2024,EN,FT,Data Analyst,140000.0,USD,140000.0,US,0.0,US,M
2467,2024,EN,FT,Data Analyst,100000.0,USD,100000.0,US,0.0,US,M
